AUTHOR|TITLE|GRADE|NOTE
2|1|F|-
14|altf4.fix2|B|-
14|altf4.fix|OUTDATED|-
[Empty]|Sky Flower 50GC edition|A|-
[Empty]|A Strange Dream 50GC edition|A|-
[Empty] |raig's stage 2 ()|D|-
[Empty] (diago)|bsolute Machination|C|(C/B) great ambiance
[Empty] (DjGopher)|Long Walk.01|B|great story telling
[Empty] (Dragon MC)|utumnPlains|N/A|tileset
[Empty] (eitan shoshi)|a Awesome (Da Awesome)|F|-
[Empty] (jkork)|lubjorkkkkkkkkkkkkkkkkkkkkk|F|-
[Empty] (Lyle)|World Saving Adventure DEMO1|N/A|demo
[Empty] (mint)|dventures of naked gal (mintknytt)|D|-
[Empty] (toudou1620)|ack to the Tutorial|D|-
[empty] endos|hoices|OUTDATED|see "choices" by endos (not reviewed here)
1Community|Community Level Joining1|N/A|incomplete, nice tilesets
1Community|Community Level Alpha1|OUTDATED|-
1Community|Community Level Joining|OUTDATED|-
60FourMaster|Supreme Sanktoh|B|flawed gameplay but great ideas 
60FourMaster|Knytt's Edge|C|(C/B) great concept to be developed
60FourMaster|Transferal|C|(C/B) exploration heavy
60FourMaster|The Legend of Sanktoh 2 (2.0)|C|(C/B)
60FourMaster|Maze of The Blade (Finished)|C|(C/B)
60FourMaster|Complex 2th (The Empty Vessel)|C|(C/B)
60FourMaster|The Legend of Sanktoh (MQ)|C|-
60FourMaster|The Strange Ship|C|-
60FourMaster|Black Rainbow Demo 1|N/A|incomplete
60FourMaster|The Legend of Sanktoh 2|OUTDATED|-
60FourMaster|Maze of The BladeDemo2|OUTDATED|-
60FourMaster|The Legend of Sanktoh|OUTDATED|-
85creator001|Test|D|-
94supersonic|Quest|D|-
94supersonic|Stairway to heaven (FIX)|D|-
94supersonic|Stairway to heaven|OUTDATED|-
A|Zebes|C|(C/B)
a|a|D|-
A|Woodgrove Hotel 0 1|D|-
A ClockWork Lemon|Monochrome Jumping(expanded edition (fixed))|B|played on luntatic mode
A ClockWork Lemon|Fear V2(fixed)|B|nice isometric tilset
A ClockWork Lemon|The Portable TimeWarp V.KSA|B|great concept
A ClockWork Lemon|Adventures in the Void V6 (unfinished and never will be)|B|-
A ClockWork Lemon|Nowhere Tileset and Usage|N/A|tileset
A ClockWork Lemon|Animate|N/A|animation showcase
A ClockWork Lemon|Fear|OUTDATED|-
A ClockWork Lemon|Adventures in the Void V1.5.2|OUTDATED|-
A ClockWork Lemon|Adventures in the Void V2.1|OUTDATED|-
A ClockWork Lemon|Adventures in the Void V4.2 (FINAL)|OUTDATED|-
A ClockWork Lemon|Adventures in the Void v5.4|OUTDATED|-
